# Time (ps)	MSD (nm^2)
279.000000	0.243346
280.000000	0.243120
281.000000	0.245078
282.000000	0.249286
283.000000	0.252775
284.000000	0.252964
285.000000	0.253137
286.000000	0.251872
287.000000	0.255949
288.000000	0.260704
289.000000	0.260849
290.000000	0.259565
291.000000	0.260376
292.000000	0.263888
293.000000	0.261681
294.000000	0.260649
295.000000	0.262112
296.000000	0.262050
297.000000	0.263293
298.000000	0.262499
299.000000	0.266006
300.000000	0.266117
301.000000	0.269833
302.000000	0.272017
303.000000	0.272478
304.000000	0.275073
305.000000	0.274248
306.000000	0.273784
307.000000	0.274039
308.000000	0.272372
309.000000	0.272598
310.000000	0.277463
311.000000	0.274913
312.000000	0.277186
313.000000	0.278261
314.000000	0.279690
315.000000	0.275454
316.000000	0.276682
317.000000	0.278689
318.000000	0.279074
319.000000	0.283160
320.000000	0.284790
321.000000	0.287473
322.000000	0.289787
323.000000	0.293630
324.000000	0.297314
325.000000	0.296234
326.000000	0.295113
327.000000	0.294484
328.000000	0.297504
329.000000	0.296199
330.000000	0.297242
331.000000	0.295251
332.000000	0.294644
333.000000	0.295810
334.000000	0.296407
335.000000	0.295180
336.000000	0.296875
337.000000	0.297841
338.000000	0.300663
339.000000	0.302057
340.000000	0.301340
341.000000	0.302302
342.000000	0.300671
343.000000	0.297977
344.000000	0.296695
345.000000	0.298934
346.000000	0.297021
347.000000	0.296078
348.000000	0.301176
349.000000	0.297505
350.000000	0.297136
351.000000	0.299314
352.000000	0.301747
353.000000	0.303083
354.000000	0.306681
355.000000	0.307760
356.000000	0.307771
357.000000	0.308462
358.000000	0.311318
359.000000	0.312084
360.000000	0.312218
361.000000	0.314126
362.000000	0.314249
363.000000	0.314107
364.000000	0.314168
365.000000	0.316177
366.000000	0.316977
367.000000	0.319077
368.000000	0.320093
369.000000	0.322553
370.000000	0.323549
371.000000	0.323992
372.000000	0.325583
373.000000	0.326588
374.000000	0.329632
375.000000	0.332879
376.000000	0.329709
377.000000	0.327921
378.000000	0.328786
379.000000	0.331809
380.000000	0.332134
